Date,Close
5/1/2017,9.64744
5/2/2017,9.62258455
5/3/2017,9.63055227
5/4/2017,9.69995963
5/5/2017,9.6693326
5/6/2017,9.6693326
5/7/2017,9.673095
5/8/2017,9.65924521
5/9/2017,9.66820955
5/10/2017,9.6993531
5/11/2017,9.65086532
5/12/2017,9.65165714
5/13/2017,9.65165714
5/14/2017,9.65859
5/15/2017,9.69391549
5/16/2017,9.7393075
5/17/2017,9.7468769
5/18/2017,9.77479637
5/19/2017,9.78022555
5/20/2017,9.78022555
5/21/2017,9.776325
5/22/2017,9.77165166
5/23/2017,9.73723338
5/24/2017,9.72797208
5/25/2017,9.74315833
5/26/2017,9.69104847
5/27/2017,9.69104847
5/28/2017,9.7093
5/29/2017,9.71762945
5/30/2017,9.75538078
5/31/2017,9.7714
6/1/2017,9.73641
6/2/2017,9.72025718
6/3/2017,9.72025718
6/4/2017,9.72858
6/5/2017,9.74145315
6/6/2017,9.77543448
6/7/2017,9.778535
6/8/2017,9.76907
6/9/2017,9.80866553
6/10/2017,9.80866553
6/11/2017,9.760545
6/12/2017,9.79622451
6/13/2017,9.74349465
6/14/2017,9.763815
6/15/2017,9.75683342
6/16/2017,9.76433228
6/17/2017,9.76433228
6/18/2017,9.74329
6/19/2017,9.7505299
6/20/2017,9.77708103
6/21/2017,9.76977638
6/22/2017,9.76172241
6/23/2017,9.78211249
6/24/2017,9.78211249
6/25/2017,9.75771
6/26/2017,9.75190084
6/27/2017,9.76369641
6/28/2017,9.72008655
6/29/2017,9.67866368
6/30/2017,9.62209353
7/1/2017,9.62209353
7/2/2017,9.623885
7/3/2017,9.648335
7/4/2017,9.67210317
7/5/2017,9.63760431
7/6/2017,9.64113623
7/7/2017,9.61329142
7/8/2017,9.61329142
7/9/2017,9.607235
7/10/2017,9.60441
7/11/2017,9.63574852
7/12/2017,9.60402857
7/13/2017,9.52682668
7/14/2017,9.5796692
7/15/2017,9.5796692
7/16/2017,9.53252
7/17/2017,9.52082571
7/18/2017,9.59236
7/19/2017,9.57603392
7/20/2017,9.56188366
7/21/2017,9.64151449
7/22/2017,9.64151449
7/23/2017,9.61435581
7/24/2017,9.56347251
7/25/2017,9.55872
7/26/2017,9.588225
7/27/2017,9.59812934
7/28/2017,9.53017483
7/29/2017,9.53017483
7/30/2017,9.525045
7/31/2017,9.55082696
8/1/2017,9.5792
8/2/2017,9.603925
8/3/2017,9.61733
8/4/2017,9.57799616
8/5/2017,9.57799616
8/6/2017,9.59757
8/7/2017,9.61410404
8/8/2017,9.60848693
8/9/2017,9.61560918
8/10/2017,9.57812735
8/11/2017,9.65793539
8/12/2017,9.65793539
8/13/2017,9.60496
8/14/2017,9.56041137
8/15/2017,9.4783
8/16/2017,9.50242
8/17/2017,9.541515
8/18/2017,9.61658309
8/19/2017,9.61658309
8/20/2017,9.538205
8/21/2017,9.5394213
8/22/2017,9.53044868
8/23/2017,9.51830959
8/24/2017,9.52139018
8/25/2017,9.52507662
8/26/2017,9.52507662
8/27/2017,9.49976
8/28/2017,9.54503949
8/29/2017,9.506815
8/30/2017,9.48315005
8/31/2017,9.45588
9/1/2017,9.48681418
9/2/2017,9.48681418
9/3/2017,9.48116
9/4/2017,9.4724
9/5/2017,9.490895
9/6/2017,9.50626
9/7/2017,9.52764
9/8/2017,9.41381063
9/9/2017,9.41381063
9/10/2017,9.545555
9/11/2017,9.57740747
9/12/2017,9.53839
