"Date","Price","Open","High","Low","Change %"
"Sep 25, 2019","9.7558","9.6664","9.7584","9.6635","0.93%"
"Sep 24, 2019","9.6663","9.7075","9.7443","9.6586","-0.42%"
"Sep 23, 2019","9.7075","9.7110","9.7775","9.6908","0.09%"
"Sep 20, 2019","9.6990","9.6860","9.7393","9.6589","0.12%"
"Sep 19, 2019","9.6873","9.7266","9.7403","9.6724","-0.43%"
"Sep 18, 2019","9.7288","9.6715","9.7487","9.6677","0.60%"
"Sep 17, 2019","9.6708","9.6573","9.7301","9.6500","0.14%"
"Sep 16, 2019","9.6573","9.6145","9.6933","9.5950","0.50%"
"Sep 13, 2019","9.6090","9.6218","9.6351","9.5829","-0.15%"
"Sep 12, 2019","9.6235","9.6729","9.7323","9.6011","-0.52%"
"Sep 11, 2019","9.6737","9.6846","9.7071","9.6622","-0.12%"
"Sep 10, 2019","9.6854","9.6595","9.7595","9.6529","0.28%"
"Sep 09, 2019","9.6586","9.6447","9.6710","9.6318","0.15%"
"Sep 06, 2019","9.6442","9.6872","9.6951","9.5990","-0.46%"
"Sep 05, 2019","9.6890","9.7350","9.7477","9.6523","-0.45%"
"Sep 04, 2019","9.7331","9.8212","9.8268","9.7265","-0.90%"
"Sep 03, 2019","9.8212","9.8269","9.8949","9.8160","-0.08%"
"Sep 02, 2019","9.8289","9.8367","9.8367","9.7947","0.10%"
"Aug 30, 2019","9.8192","9.7793","9.8406","9.7730","0.43%"
"Aug 29, 2019","9.7770","9.7242","9.7870","9.7130","0.54%"
"Aug 28, 2019","9.7247","9.6726","9.7325","9.6659","0.54%"
"Aug 27, 2019","9.6726","9.6738","9.6880","9.6237","-0.03%"
"Aug 26, 2019","9.6756","9.6207","9.6835","9.6139","0.72%"
"Aug 23, 2019","9.6065","9.6782","9.6998","9.6046","-0.74%"
"Aug 22, 2019","9.6782","9.6218","9.6913","9.5952","0.56%"
"Aug 21, 2019","9.6245","9.6877","9.6956","9.6068","-0.65%"
"Aug 20, 2019","9.6879","9.6881","9.7343","9.6755","0.02%"
"Aug 19, 2019","9.6864","9.6566","9.6908","9.6451","0.27%"
"Aug 16, 2019","9.6601","9.6418","9.6966","9.6369","0.19%"
"Aug 15, 2019","9.6418","9.6374","9.6596","9.6019","0.07%"
"Aug 14, 2019","9.6348","9.5403","9.6386","9.4974","0.99%"
"Aug 13, 2019","9.5403","9.5624","9.5892","9.5249","-0.23%"
"Aug 12, 2019","9.5620","9.5446","9.6053","9.5366","0.17%"
